number,category,questionText,questionCode,answerText,answerCode,mdnLink,timesSkipped,timesEdited,lastUpdated
11,Array Methods,What does <code>Array.keys()</code> do?,,"<code>Array.keys()</code> returns a Array Iteration object that contains the keys for each index in the array.  In the provided example, 'keys' are essentially numerical index positions.","const array = ['a', 'b', 'c']; | 
const iterator = array.keys(); | 
 | 
for (const key of iterator) { | 
    console.log(key); | 
} | 
 | 
// Expected output: 0 | 
// Expected output: 1 | 
// Expected output: 2",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/keys,,,
12,Array Methods,What does  <code>Array.push()</code> do?,,"Adds new elements to the end of an array, and returns the new length",,https://www.google.com/search?q=Array.push(),,,
13,Array Methods,What does  <code>Array.join()</code> do?,,Joins all elements of an array into a string,,https://www.google.com/search?q=Array.join(),,,
14,Array Methods,What does  <code>Array.pop()</code> do?,,"Removes the last element of an array, and returns that element",,https://www.google.com/search?q=Array.pop(),,,
15,Array Methods,What does  <code>Array.map()</code> do?,,Creates a new array with the result of calling a function for each array element,,https://www.google.com/search?q=Array.map(),,,
17,Boolean Methods,What does  <code>Boolean.valueOf()</code> do?,,Returns the primitive value of a boolean.,,https://www.google.com/search?q=Boolean.valueOf(),,,
18,Array Methods,What does  <code>Array.entries()</code> do?,,Returns a key/value pair Array Iteration Object,"const array1 = ['a', 'b', 'c']; | 
 | 
const iterator1 = array1.entries(); | 
 | 
console.log(iterator1.next().value); | 
// Expected output: Array [0, ""a""] | 
 | 
console.log(iterator1.next().value); | 
// Expected output: Array [1, ""b""]
",https://www.google.com/search?q=Array.entries(),,,
19,Methods,What does  <code>Date.indexOf()</code> do?,,Search the array for an element and returns its position,,https://www.google.com/search?q=Date.indexOf(),,,
20,Methods,What does  <code>Date.includes()</code> do?,,Check if an array contains the specified element,,https://www.google.com/search?q=Date.includes(),,,
21,Methods,What does  <code>Date.from()</code> do?,,Creates an array from an object,,https://www.google.com/search?q=Date.from(),,,
22,Methods,What does  <code>Date.forEach()</code> do?,,Calls a function for each array element,,https://www.google.com/search?q=Date.forEach(),,,
23,Methods,What does  <code>Date.findIndex()</code> do?,,Returns the index of the first element in an array that pass a test,,https://www.google.com/search?q=Date.findIndex(),,,
24,Methods,What does  <code>Date.filter()</code> do?,,Creates a new array with every element in an array that pass a test,,https://www.google.com/search?q=Date.filter(),,,
25,Methods,What does  <code>Date.unshift()</code> do?,,"Adds new elements to the beginning of an array, and returns the new length",,https://www.google.com/search?q=Date.unshift(),,,
26,Methods,What does  <code>Date.toString()</code> do?,,"Converts an array to a string, and returns the result",,https://www.google.com/search?q=Date.toString(),,,
27,Methods,What does  <code>Date.fill()</code> do?,,Fill the elements in an array with a static value,,https://www.google.com/search?q=Date.fill(),,,
28,Methods,What does  <code>Date.sort()</code> do?,,Sorts the elements of an array,,https://www.google.com/search?q=Date.sort(),,,
29,Methods,What does  <code>Date.splice()</code> do?,,Adds/Removes elements from an array,,https://www.google.com/search?q=Date.splice(),,,
30,Methods,What does  <code>Date.every()</code> do?,,Checks if every element in an array pass a test,,https://www.google.com/search?q=Date.every(),,,
31,Methods,What does  <code>Date.some()</code> do?,,Checks if any of the elements in an array pass a test,,https://www.google.com/search?q=Date.some(),,,
32,Methods,What does  <code>Date.slice()</code> do?,,"Selects a part of an array, and returns the new array",,https://www.google.com/search?q=Date.slice(),,,
33,Methods,What does  <code>Date.entries()</code> do?,,Returns a key/value pair Array Iteration Object,,https://www.google.com/search?q=Date.entries(),,,
34,Methods,What does  <code>Date.shift()</code> do?,,"Removes the first element of an array, and returns that element",,https://www.google.com/search?q=Date.shift(),,,
35,Methods,What does  <code>Date.reverse()</code> do?,,Reverses the order of the elements in an array,,https://www.google.com/search?q=Date.reverse(),,,
36,Methods,What does  <code>Date.find()</code> do?,,Returns the value of the first element in an array that pass a test,,https://www.google.com/search?q=Date.find(),,,
37,Methods,What does  <code>Date.reduceRight()</code> do?,,Reduce the values of an array to a single value (going right-to-left),,https://www.google.com/search?q=Date.reduceRight(),,,
38,Methods,What does  <code>Date.reduce()</code> do?,,Reduce the values of an array to a single value (going left-to-right),,https://www.google.com/search?q=Date.reduce(),,,
39,Methods,What does  <code>Date.push()</code> do?,,"Adds new elements to the end of an array, and returns the new length",,https://www.google.com/search?q=Date.push(),,,
40,Methods,What does  <code>Date.pop()</code> do?,,"Removes the last element of an array, and returns that element",,https://www.google.com/search?q=Date.pop(),,,
41,Methods,What does  <code>Date.map()</code> do?,,Creates a new array with the result of calling a function for each array element,,https://www.google.com/search?q=Date.map(),,,
42,Methods,What does  <code>Date.lastIndexOf()</code> do?,,"Search the array for an element, starting at the end, and returns its position",,https://www.google.com/search?q=Date.lastIndexOf(),,,
43,Methods,What does  <code>Date.keys()</code> do?,,"Returns a Array Iteration Object, containing the keys of the original array",,https://www.google.com/search?q=Date.keys(),,,
44,Methods,What does  <code>Date.join()</code> do?,,Joins all elements of an array into a string,,https://www.google.com/search?q=Date.join(),,,
45,Methods,What does  <code>Date.copyWithin()</code> do?,,"Copies array elements within the array, to and from specified positions",,https://www.google.com/search?q=Date.copyWithin(),,,
46,Methods,What does  <code>Object.Number()</code> do?,,Converts an object's value to a number,,https://www.google.com/search?q=Object.Number(),,,
47,Methods,What does  <code>Object.isNaN()</code> do?,,Determines whether a value is an illegal number,,https://www.google.com/search?q=Object.isNaN(),,,
48,Methods,What does  <code>Object.isFinite()</code> do?,,"Determines whether a value is a finite, legal number",,https://www.google.com/search?q=Object.isFinite(),,,
49,Methods,What does  <code>Object.parseFloat()</code> do?,,Parses a string and returns a floating point number,,https://www.google.com/search?q=Object.parseFloat(),,,
50,Methods,What does  <code>Object.parseInt()</code> do?,,Parses a string and returns an integer,,https://www.google.com/search?q=Object.parseInt(),,,
51,Methods,What does  <code>Object.String()</code> do?,,Converts an object's value to a string,,https://www.google.com/search?q=Object.String(),,,
52,Methods,What does  <code>Object.eval()</code> do?,,Evaluates a string and executes it as if it was script code,,https://www.google.com/search?q=Object.eval(),,,
53,Methods,What does  <code>JSON.parse()</code> do?,,Parses a JSON string and returns a JavaScript object,,https://www.google.com/search?q=JSON.parse(),,,
54,Methods,What does  <code>JSON.stringify()</code> do?,,Convert a JavaScript object to a JSON string,,https://www.google.com/search?q=JSON.stringify(),,,
55,Methods,What does  <code>Math.abs(x)</code> do?,,Returns the absolute value of x,,https://www.google.com/search?q=Math.abs(x),,,
56,Methods,What does  <code>Object.escape()</code> do?,,Deprecated in version 1.5. Use encodeURI() or encodeURIComponent() instead,,https://www.google.com/search?q=Object.escape(),,,
57,Methods,What does  <code>Object.encodeURIComponent()</code> do?,,Encodes a URI component,,https://www.google.com/search?q=Object.encodeURIComponent(),,,
58,Methods,What does  <code>Object.encodeURI()</code> do?,,Encodes a URI,,https://www.google.com/search?q=Object.encodeURI(),,,
59,Methods,What does  <code>Object.decodeURIComponent()</code> do?,,Decodes a URI component,,https://www.google.com/search?q=Object.decodeURIComponent(),,,
60,Methods,What does  <code>Date.valueOf()</code> do?,,Returns the primitive value of an array,,https://www.google.com/search?q=Date.valueOf(),,,
61,Methods,What does  <code>Math.log(x)</code> do?,,Returns the natural logarithm (base E) of x,,https://www.google.com/search?q=Math.log(x),,,
62,Methods,What does  <code>Math.floor(x)</code> do?,,"Returns x, rounded downwards to the nearest integer",,https://www.google.com/search?q=Math.floor(x),,,
63,Methods,What does  <code>Math.cosh(x)</code> do?,,Returns the hyperbolic cosine of x,,https://www.google.com/search?q=Math.cosh(x),,,
64,Methods,What does  <code>Math.cos(x)</code> do?,,Returns the cosine of x (x is in radians),,https://www.google.com/search?q=Math.cos(x),,,
65,Methods,What does  <code>Math.ceil(x)</code> do?,,"Returns x, rounded upwards to the nearest integer",,https://www.google.com/search?q=Math.ceil(x),,,
66,Methods,What does  <code>Math.cbrt(x)</code> do?,,Returns the cubic root of x,,https://www.google.com/search?q=Math.cbrt(x),,,
67,Methods,What does  <code>Math.atanh(x)</code> do?,,Returns the hyperbolic arctangent of x,,https://www.google.com/search?q=Math.atanh(x),,,
68,Methods,"What does  <code>Math.atan2(y, x)</code> do?",,Returns the arctangent of the quotient of its arguments,,"https://www.google.com/search?q=Math.atan2(y, x)",,,
69,Methods,What does  <code>Math.atan(x)</code> do?,,Returns the arctangent of x as a numeric value between -PI/2 and PI/2 radians,,https://www.google.com/search?q=Math.atan(x),,,
70,Methods,What does  <code>Math.asinh(x)</code> do?,,Returns the hyperbolic arcsine of x,,https://www.google.com/search?q=Math.asinh(x),,,
71,Methods,What does  <code>Math.asin(x)</code> do?,,"Returns the arcsine of x, in radians",,https://www.google.com/search?q=Math.asin(x),,,
72,Methods,What does  <code>Math.acosh(x)</code> do?,,Returns the hyperbolic arccosine of x,,https://www.google.com/search?q=Math.acosh(x),,,
73,Methods,What does  <code>Math.acos(x)</code> do?,,"Returns the arccosine of x, in radians",,https://www.google.com/search?q=Math.acos(x),,,
74,Methods,What does  <code>Number.isNaN()</code> do?,,Checks whether a value is Number.NaN,,https://www.google.com/search?q=Number.isNaN(),,,
75,Methods,What does  <code>Math.trunc(x)</code> do?,,Returns the integer part of a number (x),,https://www.google.com/search?q=Math.trunc(x),,,
76,Methods,What does  <code>Math.tanh(x)</code> do?,,Returns the hyperbolic tangent of a number,,https://www.google.com/search?q=Math.tanh(x),,,
77,Methods,What does  <code>Math.tan(x)</code> do?,,Returns the tangent of an angle,,https://www.google.com/search?q=Math.tan(x),,,
78,Methods,What does  <code>Number.constructor</code> do?,,Returns the function that created JavaScript's Number prototype,,https://www.google.com/search?q=Number.constructor,,,
79,Methods,What does  <code>Number.MIN_VALUE</code> do?,,Returns the smallest number possible in JavaScript,,https://www.google.com/search?q=Number.MIN_VALUE,,,
80,Methods,What does  <code>Number.NEGATIVE_INFINITY</code> do?,,Represents negative infinity (returned on overflow),,https://www.google.com/search?q=Number.NEGATIVE_INFINITY,,,
81,Methods,What does  <code>Number.NaN</code> do?,,"Represents a ""Not-a-Number"" value",,https://www.google.com/search?q=Number.NaN,,,
82,Methods,What does  <code>Number.POSITIVE_INFINITY</code> do?,,Represents infinity (returned on overflow),,https://www.google.com/search?q=Number.POSITIVE_INFINITY,,,
83,Methods,What does  <code>Number.prototype</code> do?,,Allows you to add properties and methods to an object,,https://www.google.com/search?q=Number.prototype,,,
84,Methods,What does  <code>Number.isFinite()</code> do?,,Checks whether a value is a finite number,,https://www.google.com/search?q=Number.isFinite(),,,
85,Methods,What does  <code>Math.sqrt(x)</code> do?,,Returns the square root of x,,https://www.google.com/search?q=Math.sqrt(x),,,
86,Methods,What does  <code>Number.isSafeInteger()</code> do?,,Checks whether a value is a safe integer,,https://www.google.com/search?q=Number.isSafeInteger(),,,
87,Methods,What does  <code>Number.isInteger()</code> do?,,Checks whether a value is an integer,,https://www.google.com/search?q=Number.isInteger(),,,
88,Methods,What does  <code>Number.toExponential(x)</code> do?,,Converts a number into an exponential notation,,https://www.google.com/search?q=Number.toExponential(x),,,
89,Methods,What does  <code>Number.toFixed(x)</code> do?,,Formats a number with x numbers of digits after the decimal point,,https://www.google.com/search?q=Number.toFixed(x),,,
90,Methods,What does  <code>Math.sinh(x)</code> do?,,Returns the hyperbolic sine of x,,https://www.google.com/search?q=Math.sinh(x),,,
91,Methods,What does  <code>String.concat()</code> do?,,"Joins two or more strings, and returns a new joined strings",,https://www.google.com/search?q=String.concat(),,,
92,Methods,What does  <code>Number.MAX_VALUE</code> do?,,Returns the largest number possible in JavaScript,,https://www.google.com/search?q=Number.MAX_VALUE,,,
93,Methods,What does  <code>String.charCodeAt()</code> do?,,Returns the Unicode of the character at the specified index,,https://www.google.com/search?q=String.charCodeAt(),,,
94,Methods,What does  <code>String.charAt()</code> do?,,Returns the character at the specified index (position),,https://www.google.com/search?q=String.charAt(),,,
95,Methods,What does <code>Number.valueOf()</code> do?,,<code>Number.valueOf()</code> eturns the primitivre value of a number.,"const numObj = new Number(42); | 
console.log(typeof numObj); | 
// Expected output: ""object"" | 
 | 
const num = numObj.valueOf(); | 
console.log(num); | 
// Expected output: 42 | 
 | 
console.log(typeof num); | 
// Expected output: ""number""",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Number/valueOf,,,
96,Methods,What does  <code>Number.toString()</code> do?,,Converts a number to a string,,https://www.google.com/search?q=Number.toString(),,,
97,Methods,What does  <code>Math.sin(x)</code> do?,,Returns the sine of x (x is in radians),,https://www.google.com/search?q=Math.sin(x),,,
98,Methods,What does  <code>Math.round(x)</code> do?,,Rounds x to the nearest integer,,https://www.google.com/search?q=Math.round(x),,,
99,Methods,What does  <code>Math.random()</code> do?,,Returns a random number between 0 and 1,,https://www.google.com/search?q=Math.random(),,,
100,Methods,"What does  <code>Math.pow(x, y)</code> do?",,Returns the value of x to the power of y,,"https://www.google.com/search?q=Math.pow(x, y)",,,
101,Methods,"What does  <code>Math.max(x, y, z, ..., n)</code> do?",,Returns the number with the highest value,,"https://www.google.com/search?q=Math.max(x, y, z, ..., n)",,,
102,Methods,What does  <code>Document.domain</code> do?,,Returns the domain name of the server that loaded the document,,https://www.google.com/search?q=Document.domain,,,
103,Methods,What does  <code>Document.createElement()</code> do?,,Creates an Element node,,https://www.google.com/search?q=Document.createElement(),,,
104,Methods,What does  <code>String.trim()</code> do?,,Removes whitespace from both ends of a string,,https://www.google.com/search?q=String.trim(),,,
105,Methods,What does  <code>String.valueOf()</code> do?,,Returns the primitive value of a String object,,https://www.google.com/search?q=String.valueOf(),,,
106,Methods,What does  <code>String.toUpperCase()</code> do?,,Converts a string to uppercase letters,,https://www.google.com/search?q=String.toUpperCase(),,,
107,Methods,What does  <code>String.toLowerCase()</code> do?,,Converts a string to lowercase letters,,https://www.google.com/search?q=String.toLowerCase(),,,
108,Methods,What does  <code>String.toLocaleLowerCase()</code> do?,,"Converts a string to lowercase letters, according to the host's locale",,https://www.google.com/search?q=String.toLocaleLowerCase(),,,
109,Methods,What does  <code>String.substring()</code> do?,,"Extracts the characters from a string, between two specified indices",,https://www.google.com/search?q=String.substring(),,,
110,Methods,What does  <code>String.substr()</code> do?,,"Extracts the characters from a string, beginning at a specified start position, and through the specified number of character",,https://www.google.com/search?q=String.substr(),,,
111,Methods,What does  <code>String.startsWith()</code> do?,,Checks whether a string begins with specified characters,,https://www.google.com/search?q=String.startsWith(),,,
112,Methods,What does  <code>String.split()</code> do?,,Splits a string into an array of substrings,,https://www.google.com/search?q=String.split(),,,
113,Methods,What does  <code>String.toLocaleUpperCase()</code> do?,,"Converts a string to uppercase letters, according to the host's locale",,https://www.google.com/search?q=String.toLocaleUpperCase(),,,
114,Methods,What does  <code>String.toString()</code> do?,,Returns the value of a String object,,https://www.google.com/search?q=String.toString(),,,
115,Methods,What does  <code>String.slice()</code> do?,,Extracts a part of a string and returns a new string,,https://www.google.com/search?q=String.slice(),,,
116,Methods,What does  <code>String.search()</code> do?,,"Searches a string for a specified value, or regular expression, and returns the position of the match",,https://www.google.com/search?q=String.search(),,,
117,Methods,What does  <code>Document.baseURI</code> do?,,Returns the absolute base URI of a document,,https://www.google.com/search?q=Document.baseURI,,,
118,Methods,What does  <code>String.repeat()</code> do?,,Returns a new string with a specified number of copies of an existing string,,https://www.google.com/search?q=String.repeat(),,,
119,Methods,What does  <code>Document.execCommand()</code> do?,,Invokes the specified clipboard operation on the element currently having focus.,,https://www.google.com/search?q=Document.execCommand(),,,
120,Methods,What does  <code>String.localeCompare()</code> do?,,Compares two strings in the current locale,,https://www.google.com/search?q=String.localeCompare(),,,
121,Methods,What does  <code>String.lastIndexOf()</code> do?,,Returns the position of the last found occurrence of a specified value in a string,,https://www.google.com/search?q=String.lastIndexOf(),,,
122,Methods,What does  <code>String.indexOf()</code> do?,,Returns the position of the first found occurrence of a specified value in a string,,https://www.google.com/search?q=String.indexOf(),,,
123,Methods,What does  <code>String.includes()</code> do?,,Checks whether a string contains the specified string/characters,,https://www.google.com/search?q=String.includes(),,,
124,Methods,What does  <code>String.fromCharCode()</code> do?,,Converts Unicode values to characters,,https://www.google.com/search?q=String.fromCharCode(),,,
125,Methods,What does  <code>String.endsWith()</code> do?,,Checks whether a string ends with specified string/characters,,https://www.google.com/search?q=String.endsWith(),,,
126,Methods,What does  <code>Document.forms</code> do?,,Returns a collection of all <form> elements in the document,,https://www.google.com/search?q=Document.forms,,,
127,Methods,What does  <code>Document.title</code> do?,,Sets or returns the title of the document,,https://www.google.com/search?q=Document.title,,,
128,Methods,What does  <code>Document.fullscreenElement</code> do?,,Returns the current element that is displayed in fullscreen mode,,https://www.google.com/search?q=Document.fullscreenElement,,,
129,Methods,What does  <code>Document.strictErrorChecking</code> do?,,Sets or returns whether error-checking is enforced or not,,https://www.google.com/search?q=Document.strictErrorChecking,,,
130,Methods,What does  <code>Document.scripts</code> do?,,Returns a collection of <script> elements in the document,,https://www.google.com/search?q=Document.scripts,,,
131,Methods,What does  <code>Document.renameNode()</code> do?,,Renames the specified node,,https://www.google.com/search?q=Document.renameNode(),,,
132,Methods,What does  <code>Document.removeEventListener()</code> do?,,Removes an event handler from the document (that has been attached with the addEventListener() method),,https://www.google.com/search?q=Document.removeEventListener(),,,
133,Methods,What does  <code>Document.referrer</code> do?,,Returns the URL of the document that loaded the current document,,https://www.google.com/search?q=Document.referrer,,,
134,Methods,What does  <code>Document.readyState</code> do?,,Returns the (loading) status of the document,,https://www.google.com/search?q=Document.readyState,,,
135,Methods,What does  <code>Document.querySelector()</code> do?,,Returns the first element that matches a specified CSS selector(s) in the document,,https://www.google.com/search?q=Document.querySelector(),,,
136,Methods,What does  <code>Document.querySelectorAll()</code> do?,,Returns a static NodeList containing all elements that matches a specified CSS selector(s) in the document,,https://www.google.com/search?q=Document.querySelectorAll(),,,
137,Methods,What does  <code>Document.fullscreenEnabled()</code> do?,,Returns a Boolean value indicating whether the document can be viewed in fullscreen mode,,https://www.google.com/search?q=Document.fullscreenEnabled(),,,
138,Methods,What does  <code>Document.getElementById()</code> do?,,Returns the element that has the ID attribute with the specified value,,https://www.google.com/search?q=Document.getElementById(),,,
139,Methods,What does  <code>Document.getElementsByClassName()</code> do?,,Returns a NodeList containing all elements with the specified class name,,https://www.google.com/search?q=Document.getElementsByClassName(),,,
140,Methods,What does  <code>Document.getElementsByName()</code> do?,,Returns a NodeList containing all elements with a specified name,,https://www.google.com/search?q=Document.getElementsByName(),,,
141,Methods,What does  <code>Document.getElementsByTagName()</code> do?,,Returns a NodeList containing all elements with the specified tag name,,https://www.google.com/search?q=Document.getElementsByTagName(),,,
142,Methods,What does  <code>Document.hasFocus()</code> do?,,Returns a Boolean value indicating whether the document has focus,,https://www.google.com/search?q=Document.hasFocus(),,,
143,Methods,What does  <code>Document.images</code> do?,,Returns a collection of all <img> elements in the document,,https://www.google.com/search?q=Document.images,,,
144,Methods,What does  <code>Document.head</code> do?,,Returns the <head> element of the document,,https://www.google.com/search?q=Document.head,,,
145,Methods,What does  <code>Document.implementation</code> do?,,Returns the DOMImplementation object that handles this document,,https://www.google.com/search?q=Document.implementation,,,
146,Methods,What does  <code>Document.inputEncoding</code> do?,,"Returns the encoding, character set, used for the document",,https://www.google.com/search?q=Document.inputEncoding,,,
147,Methods,What does  <code>Document.lastModified</code> do?,,Returns the date and time the document was last modified,,https://www.google.com/search?q=Document.lastModified,,,
148,Methods,What does  <code>Document.links</code> do?,,Returns a collection of all <a> and <area> elements in the document that have a href attribute,,https://www.google.com/search?q=Document.links,,,
149,Methods,What does  <code>Document.normalize()</code> do?,,"Removes empty Text nodes, and joins adjacent nodes",,https://www.google.com/search?q=Document.normalize(),,,
150,Methods,What does  <code>Document.normalizeDocument()</code> do?,,"Removes empty Text nodes, and joins adjacent nodes",,https://www.google.com/search?q=Document.normalizeDocument(),,,
151,Methods,What does  <code>Document.open()</code> do?,,Opens an HTML output stream to collect output from document.write(),,https://www.google.com/search?q=Document.open(),,,
152,Methods,What does  <code>Element.focus()</code> do?,,Gives focus to an element,,https://www.google.com/search?q=Element.focus(),,,
153,Methods,What does  <code>Element.firstChild</code> do?,,Returns the first child node of an element,,https://www.google.com/search?q=Element.firstChild,,,
154,Methods,What does  <code>Element.exitFullscreen()</code> do?,,Cancels an element in fullscreen mode,,https://www.google.com/search?q=Element.exitFullscreen(),,,
155,Methods,What does  <code>Element.contains()</code> do?,,"Returns true if a node is a descendant of a node, otherwise false",,https://www.google.com/search?q=Element.contains(),,,
156,Methods,What does  <code>Element.dir</code> do?,,Sets or returns the value of the dir attribute of an element,,https://www.google.com/search?q=Element.dir,,,
157,Methods,What does  <code>Element.compareDocumentPosition()</code> do?,,Compares the document position of two elements,,https://www.google.com/search?q=Element.compareDocumentPosition(),,,
158,Methods,What does  <code>Element.cloneNode()</code> do?,,Clones an element,,https://www.google.com/search?q=Element.cloneNode(),,,
159,Methods,What does  <code>Element.clientWidth</code> do?,,"Returns the width of an element, including padding",,https://www.google.com/search?q=Element.clientWidth,,,
160,Methods,What does  <code>Element.clientTop</code> do?,,Returns the width of the top border of an element,,https://www.google.com/search?q=Element.clientTop,,,
161,Methods,What does  <code>Element.clientLeft</code> do?,,Returns the width of the left border of an element,,https://www.google.com/search?q=Element.clientLeft,,,
162,Methods,What does  <code>Element.clientHeight</code> do?,,"Returns the height of an element, including padding",,https://www.google.com/search?q=Element.clientHeight,,,
163,Methods,What does  <code>Element.contentEditable</code> do?,,Sets or returns whether the content of an element is editable or not,,https://www.google.com/search?q=Element.contentEditable,,,
164,Methods,What does  <code>Element.click()</code> do?,,Simulates a mouse-click on an element,,https://www.google.com/search?q=Element.click(),,,
165,Methods,What does  <code>Element.className</code> do?,,Sets or returns the value of the class attribute of an element,,https://www.google.com/search?q=Element.className,,,
166,Methods,What does  <code>Element.firstElementChild</code> do?,,Returns the first child element of an element,,https://www.google.com/search?q=Element.firstElementChild,,,
167,Methods,What does  <code>Element.classList</code> do?,,Returns the class name(s) of an element,,https://www.google.com/search?q=Element.classList,,,
168,Methods,What does  <code>Element.children</code> do?,,Returns a collection of an element's child element (excluding text and comment nodes),,https://www.google.com/search?q=Element.children,,,
169,Methods,What does  <code>Element.childNodes</code> do?,,Returns a collection of an element's child nodes (including text and comment nodes),,https://www.google.com/search?q=Element.childNodes,,,
170,Methods,What does  <code>Element.childElementCount</code> do?,,Returns the number of child elements an element has,,https://www.google.com/search?q=Element.childElementCount,,,
171,Methods,What does  <code>Element.blur()</code> do?,,Removes focus from an element,,https://www.google.com/search?q=Element.blur(),,,
172,Methods,What does  <code>Element.attributes</code> do?,,Returns a NamedNodeMap of an element's attributes,,https://www.google.com/search?q=Element.attributes,,,
173,Methods,What does  <code>Element.appendChild()</code> do?,,"Adds a new child node, to an element, as the last child node",,https://www.google.com/search?q=Element.appendChild(),,,
174,Methods,What does  <code>Element.addEventListener()</code> do?,,Attaches an event handler to the specified element,,https://www.google.com/search?q=Element.addEventListener(),,,
175,Methods,What does  <code>Element.accessKey</code> do?,,Sets or returns the accesskey attribute of an element,,https://www.google.com/search?q=Element.accessKey,,,
176,Methods,What does  <code>Document.writeln()</code> do?,,"Same as write(), but adds a newline character after each statement",,https://www.google.com/search?q=Document.writeln(),,,
